1396@s.s@Costa Rica FPD League@s.s@1@s.s@Football@s.s@35481@s.s@Fútbol. Costa Rica. Primera División
1367@s.s@TT Cup@s.s@39@s.s@Table Tennis@s.s@38645@s.s@Tenis de Mesa. TT Cup. Ucrania. Masculino. Individuales. 3.er Puesto
1362@s.s@Russia Liga Pro@s.s@39@s.s@Table Tennis@s.s@45513@s.s@Tenis de Mesa. Liga Pro. Rusia. Masculino. Individuales. Final
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34305@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Dinamarca
1364@s.s@TT Star Series@s.s@39@s.s@Table Tennis@s.s@37464@s.s@Tenis de Mesa. TTStar Series. República Checa. Masculino. Individuales
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34299@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Escocia
1434@s.s@Armenia ITT Cup Women@s.s@39@s.s@Table Tennis@s.s@45370@s.s@Tenis de Mesa. ITT Cup. Armenia. Femenino. Individuales
1362@s.s@Russia Liga Pro@s.s@39@s.s@Table Tennis@s.s@36682@s.s@Tenis de Mesa. Liga Pro. Rusia. Moscow Open. Masculino. Individuales. 3.er Puesto
757@s.s@MMA Combats@s.s@29@s.s@MMA-UFC@s.s@42417@s.s@Artes Marciales Mixtas. FAME
1364@s.s@TT Star Series@s.s@39@s.s@Table Tennis@s.s@39822@s.s@Tenis de Mesa. TTStar Series. República Checa. Masculino. Individuales. Semifinales
1432@s.s@Ukraine Win Cup@s.s@39@s.s@Table Tennis@s.s@45281@s.s@Tenis de Mesa. Win Cup. Ucrania. Masculino. Individuales
819@s.s@Copa América@s.s@1@s.s@Football@s.s@34287@s.s@Fútbol. Anticipadas. Copa América
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34297@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. España
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34298@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Hungría
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34269@s.s@Fútbol. Anticipadas. Eurocopa. 2020
821@s.s@Russian Cup@s.s@1@s.s@Football@s.s@34271@s.s@Fútbol. Rusia. Copa. Cuartos de Final
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34301@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Inglaterra
166@s.s@Russia Premier League@s.s@1@s.s@Football@s.s@34263@s.s@Fútbol. Rusia. Premier Liga
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34293@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Italia
757@s.s@MMA Combats@s.s@29@s.s@MMA-UFC@s.s@45271@s.s@Artes Marciales Mixtas. King of Warriors
280@s.s@Champions Cup@s.s@4@s.s@Rugby Union@s.s@34474@s.s@Rugby Union. Clubes. Internacionales. Copa de Campeones de Europa. Cuartos de Final
809@s.s@Challenger Series Men@s.s@39@s.s@Table Tennis@s.s@34467@s.s@Tenis de Mesa. Series del Desafío. Masculino. Individuales
829@s.s@Turkey 1.Lig@s.s@1@s.s@Football@s.s@34294@s.s@Fútbol. Turquía. Liga 1
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34303@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Países Bajos
836@s.s@Singapore Premier League@s.s@1@s.s@Football@s.s@34657@s.s@Fútbol. Singapur. Premier League
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34277@s.s@Fútbol. Anticipadas. Eurocopa. 2020. Grupos. Estadísticas
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34296@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. República de Irlanda
155@s.s@Turkey Super Lig@s.s@1@s.s@Football@s.s@34255@s.s@Fútbol. Turquía. Super Liga
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34302@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Rumania
1362@s.s@Russia Liga Pro@s.s@39@s.s@Table Tennis@s.s@34466@s.s@Tenis de Mesa. Liga Pro. Rusia. Moscú. Masculino. Individuales
1363@s.s@Russia Liga Pro Women@s.s@39@s.s@Table Tennis@s.s@34470@s.s@Tenis de Mesa. Liga Pro. Rusia. Moscú. Femenino. Individuales
1441@s.s@UEFA Nations League@s.s@1@s.s@Football@s.s@34273@s.s@Fútbol. Anticipadas. Liga de las Naciones
1362@s.s@Russia Liga Pro@s.s@39@s.s@Table Tennis@s.s@34468@s.s@Tenis de Mesa. Liga Pro. Rusia. Moscow Open. Masculino. Individuales
902@s.s@Taiwan SBL@s.s@2@s.s@Basketball@s.s@36046@s.s@Baloncesto. China Taipéi. Masculino. Superliga
1422@s.s@CPBL Taiwan@s.s@44@s.s@Baseball@s.s@36689@s.s@Béisbol. China Taipéi. CPBL. Pretemporada
193@s.s@International Friendlies@s.s@1@s.s@Football@s.s@35566@s.s@Fútbol. Amistosos. Internacionales
1365@s.s@Setka Cup@s.s@39@s.s@Table Tennis@s.s@38541@s.s@Tenis de Mesa. Setka Cup. Ucrania. Masculino. Individuales. Final
717@s.s@NFL@s.s@11@s.s@American Football@s.s@34483@s.s@Fútbol Americano. Anticipadas. NFL
819@s.s@Copa América@s.s@1@s.s@Football@s.s@34274@s.s@Fútbol. Internacionales. Copa América. 2020. Argentina y Colombia. Fase de Grupos
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34307@s.s@Fútbol. Internacionales. Eurocopa. 2020. Torneo Final. Fase de Grupos. Rusia
1362@s.s@Russia Liga Pro@s.s@39@s.s@Table Tennis@s.s@34719@s.s@Tenis de Mesa. Liga Pro. Rusia. Moscú. Masculino. Individuales. Final
756@s.s@Combats@s.s@7@s.s@Boxing@s.s@34790@s.s@Boxeo. Juegos Olímpicos. 2020. Clasificación. Europa. Londres, Inglaterra. Masculino
757@s.s@MMA Combats@s.s@29@s.s@MMA-UFC@s.s@34799@s.s@Artes Marciales Mixtas. Cage Warriors
827@s.s@Brazil Campeonato Amazonense@s.s@1@s.s@Football@s.s@35619@s.s@Fútbol. Brasil. Amazonense. 1.ª División. Etapa 2
757@s.s@MMA Combats@s.s@29@s.s@MMA-UFC@s.s@42522@s.s@Artes Marciales Mixtas. JFC
156@s.s@Euro 2021@s.s@1@s.s@Football@s.s@34256@s.s@Fútbol. Internacionales. Eurocopa. 2020. Clasificación. Ronda Eliminatoria. 1.ª Ronda
1368@s.s@TT Cup Women@s.s@39@s.s@Table Tennis@s.s@37749@s.s@Tenis de Mesa. TT Cup. Ucrania. Femenino. Individuales
1414@s.s@MLB@s.s@44@s.s@Baseball@s.s@34508@s.s@Béisbol. Anticipadas. MLB
1424@s.s@KBO League@s.s@44@s.s@Baseball@s.s@34507@s.s@Béisbol. Anticipadas. República de Corea
1367@s.s@TT Cup@s.s@39@s.s@Table Tennis@s.s@34651@s.s@Tenis de Mesa. TT Cup. Ucrania. Masculino. Individuales. Final
1367@s.s@TT Cup@s.s@39@s.s@Table Tennis@s.s@34469@s.s@Tenis de Mesa. TT Cup. Ucrania. Masculino. Individuales
166@s.s@Russia Premier League@s.s@1@s.s@Football@s.s@34785@s.s@Fútbol. Rusia. Premier Liga. Jugador vs Jugador
173@s.s@Belarus Premier League@s.s@1@s.s@Football@s.s@34944@s.s@Fútbol. Bielorrusia. Vysshaya Liga
1365@s.s@Setka Cup@s.s@39@s.s@Table Tennis@s.s@34465@s.s@Tenis de Mesa. Setka Cup. Ucrania. Masculino. Individuales
1366@s.s@Setka Cup Women@s.s@39@s.s@Table Tennis@s.s@34463@s.s@Tenis de Mesa. Setka Cup. Ucrania. Femenino. Individuales
830@s.s@BSL Turkey@s.s@2@s.s@Basketball@s.s@34495@s.s@Baloncesto. Turquía. Masculino. Super Liga
